dialect,standard,region
우시개,우스개,경상도
우애튼,어쨌든,경상도
우주부르다,대충마무리하다,경상도
우지바리다,겁없이한다,경상도
우짠,무슨,경상도
운짐달다,다급해지다,경상도
웃녘,윗녘,경상도
워어,멈추라는지시,경상도
워워,소에게멈추라는말,경상도
위,참외,경상도
육서깐,정육점,경상도
윤디,인두,경상도
윤두,인두,경상도
음석,음식,경상도
응께,니까,경상도
응하다,어리광을부리다,경상도
이,참외,경상도
이갓집,외갓집,경상도
이까리,고삐,경상도
이까래,고삐,경상도
이데이,이다,경상도
이드름,여드름,경상도
이라는교,이러십니까,경상도
이랴,앞으로가라는말,경상도
이바구,이야기,경상도
이얘기,이야기,경상도
이애기,이야기,경상도
이부재,이웃,경상도
이아제,외삼촌,경상도
이자뿐기라예,잊어버렸습니다,경상도
이자뿐다,잊어버린다,경상도
이적지,이때까지,경상도
이카노,이렇게하니,경상도
이라노,이렇게하느냐,경상도
이카면,이렇게하면,경상도
이할배,외할아버지,경상도
인지사,이제는,경상도
일빈,금방,경상도
임더,습니다,경상도
임데이,입니다,경상도
잇가리,끈,경상도
잎사구,잎사귀,경상도
자라,왼쪽으로가라는지시,경상도
자래다,부족하지않고맞다,경상도
자리바가치,나무바가지,경상도
자물시다,까무러치다,경상도
잡샀니껴,잡수셨습니까,경상도
장개,장가,경상도
장물,간장,경상도
잽이,잡이,경상도
잽히다,잡히다,경상도
잿간,재창고,경상도
쟁기,논가는쟁기,경상도
저분,젓가락,경상도
저아래,그끄저께,경상도
저쪽핀달이,저편에,경상도
전디다,견디다,경상도
전주다,조준하다,경상도
젓가치,젓가락,경상도
정구지,부추,경상도
정낭,화장실,경상도
통시,화장실,경상도
정지,부엌,경상도
정말이가,정말이냐,경상도
조매,좀처럼,경상도
좋으이더,좋네요,경상도
주점머리,주점부리,경상도
주점버리,주점부리,경상도
지나게나,아무나,경상도
지더기,두더지,경상도
지렁,간장,경상도
지름,기름,경상도
지리기,길이,경상도
지작대기,지게작대기,경상도
지작대이,지게작대기,경상도
지피,잘피,경상도
진달래,철쭉,경상도
질,길,경상도
질굼,엿기름,경상도
질금,콩나물,경상도
질매,짐장치,경상도
짐,김,경상도
짐치,김치,경상도
짓이나다,이골이나다,경상도
징기미,민물새우,경상도
짜구,망치,경상도
짜드라,별로,경상도
짜집기,짜깁기,경상도
짠지,김치,경상도
쪼가리,조각,경상도
쪼가리다,쪼개다,경상도
쪼꾸마이,꼬마,경상도
쪼대,검은찰흙,경상도
쪼매,조금,경상도
쪼매하다,작다,경상도
쭉디기,쭉정이,경상도
쭉디,쭉정이,경상도
쭉디이,쭉정이,경상도
쭉딩이,쭉정이,경상도
찌거리,소의입망,경상도
찌끄리,찌꺼기,경상도
차랑,쇠구슬,경상도
참꽃,진달래,경상도
참몰,모자반,경상도
창석,막대,경상도
천지다,흔하다,경상도
